warn  2021-10-25 19:55:16: `permit_join` set to  `true` in configuration.yaml.
error 2021-10-26 19:43:53: No converter available for 'battery' (74)
error 2021-10-26 19:43:53: No converter available for 'linkquality' (44)
error 2021-10-26 19:43:53: No converter available for 'update' ([object Object])
error 2021-10-26 19:43:53: No converter available for 'update_available' (false)
error 2021-10-26 19:43:53: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:45:21: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:45:21: No converter available for 'update_available' (false)
error 2021-10-26 19:45:21: No converter available for 'update' ([object Object])
error 2021-10-26 19:45:21: No converter available for 'linkquality' (42)
error 2021-10-26 19:45:21: No converter available for 'battery' (74)
error 2021-10-26 19:45:21: No converter available for 'action' (toggle)
error 2021-10-26 19:45:22: No converter available for 'action' (toggle)
error 2021-10-26 19:45:22: No converter available for 'battery' (74)
error 2021-10-26 19:45:22: No converter available for 'linkquality' (47)
error 2021-10-26 19:45:22: No converter available for 'update' ([object Object])
error 2021-10-26 19:45:22: No converter available for 'update_available' (false)
error 2021-10-26 19:45:22: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:45:41: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:45:41: No converter available for 'update_available' (false)
error 2021-10-26 19:45:41: No converter available for 'update' ([object Object])
error 2021-10-26 19:45:41: No converter available for 'linkquality' (39)
error 2021-10-26 19:45:41: No converter available for 'battery' (74)
error 2021-10-26 19:45:41: No converter available for 'action' (toggle)
error 2021-10-26 19:45:42: No converter available for 'action' (toggle)
error 2021-10-26 19:45:42: No converter available for 'battery' (74)
error 2021-10-26 19:45:42: No converter available for 'linkquality' (110)
error 2021-10-26 19:45:42: No converter available for 'update' ([object Object])
error 2021-10-26 19:45:42: No converter available for 'update_available' (false)
error 2021-10-26 19:45:42: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:47:40: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:40: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:40: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:54: No converter available for 'action' (toggle)
error 2021-10-26 19:47:54: No converter available for 'battery' (74)
error 2021-10-26 19:47:54: No converter available for 'linkquality' (36)
error 2021-10-26 19:47:54: No converter available for 'update' ([object Object])
error 2021-10-26 19:47:54: No converter available for 'update_available' (false)
error 2021-10-26 19:47:54: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:56: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:56: No converter available for 'update_available' (false)
error 2021-10-26 19:47:56: No converter available for 'update' ([object Object])
error 2021-10-26 19:47:56: No converter available for 'linkquality' (31)
error 2021-10-26 19:47:56: No converter available for 'battery' (74)
error 2021-10-26 19:47:56: No converter available for 'action' (toggle)
error 2021-10-26 19:47:58: No converter available for 'action' (toggle)
error 2021-10-26 19:47:58: No converter available for 'battery' (74)
error 2021-10-26 19:47:58: No converter available for 'linkquality' (110)
error 2021-10-26 19:47:58: No converter available for 'update' ([object Object])
error 2021-10-26 19:47:58: No converter available for 'update_available' (false)
error 2021-10-26 19:47:58: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:59: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:47:59: No converter available for 'update_available' (false)
error 2021-10-26 19:47:59: No converter available for 'update' ([object Object])
error 2021-10-26 19:47:59: No converter available for 'linkquality' (34)
error 2021-10-26 19:47:59: No converter available for 'battery' (74)
error 2021-10-26 19:47:59: No converter available for 'action' (toggle)
error 2021-10-26 19:48:01: No converter available for 'action' (toggle)
error 2021-10-26 19:48:01: No converter available for 'battery' (74)
error 2021-10-26 19:48:01: No converter available for 'linkquality' (34)
error 2021-10-26 19:48:01: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:01: No converter available for 'update_available' (false)
error 2021-10-26 19:48:01: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:48:03: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:03: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:04: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:04: No converter available for 'action' (toggle)
error 2021-10-26 19:48:04: No converter available for 'battery' (74)
error 2021-10-26 19:48:04: No converter available for 'linkquality' (36)
error 2021-10-26 19:48:04: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:04: No converter available for 'update_available' (false)
error 2021-10-26 19:48:04: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:11: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:11: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:12: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:40: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:40: No converter available for 'update_available' (false)
error 2021-10-26 19:48:40: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:40: No converter available for 'linkquality' (39)
error 2021-10-26 19:48:40: No converter available for 'battery' (74)
error 2021-10-26 19:48:40: No converter available for 'action' (toggle)
error 2021-10-26 19:48:42: No converter available for 'action' (toggle)
error 2021-10-26 19:48:42: No converter available for 'battery' (74)
error 2021-10-26 19:48:42: No converter available for 'linkquality' (34)
error 2021-10-26 19:48:42: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:42: No converter available for 'update_available' (false)
error 2021-10-26 19:48:42: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:46: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:46: No converter available for 'update_available' (false)
error 2021-10-26 19:48:46: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:46: No converter available for 'linkquality' (115)
error 2021-10-26 19:48:46: No converter available for 'battery' (74)
error 2021-10-26 19:48:46: No converter available for 'action' (toggle)
error 2021-10-26 19:48:47: No converter available for 'action' (toggle)
error 2021-10-26 19:48:47: No converter available for 'battery' (74)
error 2021-10-26 19:48:47: No converter available for 'linkquality' (26)
error 2021-10-26 19:48:47: No converter available for 'update' ([object Object])
error 2021-10-26 19:48:47: No converter available for 'update_available' (false)
error 2021-10-26 19:48:47: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:48:50: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:48:50: No converter available for 'lamp' (lampkitchen)
